rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1682468248184455379,,78104,,1682468248,182490817,"""joystick""","[-1.0, 0.05154576152563095, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468248223337107,,78105,,1682468248,221275584,"""joystick""","[-1.0, 0.05154576152563095, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468248252796318,,78106,,1682468248,251321392,"""joystick""","[-1.0, 0.05154576152563095, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248284576062,,78107,,1682468248,282530315,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248383285532,,78108,,1682468248,381318090,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.5979491472244263, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248405840008,,78109,,1682468248,403866390,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.36082032322883606, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248425648316,,78110,,1682468248,423818507,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.29895931482315063, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248460854074,,78111,,1682468248,458780872,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.29895931482315063, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248493482018,,78112,,1682468248,491262446,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.2061830461025238, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248531860318,,78113,,1682468248,530117102,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.13400676846504211, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248562856983,,78114,,1682468248,561369705,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.13400676846504211, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248589033124,,78115,,1682468248,587798616,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.12369152158498764, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248623181689,,78116,,1682468248,621068166,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.08246101438999176, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1682468248655905025,,78117,,1682468248,655016601,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 0.07214576005935669, -1.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
